연도,국가명,구분,계,적,공
2020,이집트,환적,27652.75,24581.75,3071.0
2020,이탈리아,환적,49566.75,47020.5,2546.25
2020,인도,환적,90122.25,89210.25,912.0
2020,인도네시아,환적,185317.25,185054.25,263.0
2020,일본,환적,1712547.25,1557289.0,155258.25
2020,자메이카,환적,16808.25,15254.25,1554.0
2020,적도 기니,환적,30.0,30.0,0.0
2020,조지아,환적,2172.5,2172.5,0.0
2020,중국,환적,3831163.75,3502136.5,329027.25
2020,지부티,환적,504.0,504.0,0.0
2020,차드,환적,1.0,1.0,0.0
2020,체코,환적,1.0,1.0,0.0
2020,칠레,환적,255048.75,241178.75,13870.0
2020,카메룬,환적,338.0,338.0,0.0
2020,카보 베르데,환적,19.0,19.0,0.0
2020,카타르,환적,6260.5,6260.5,0.0
2020,캄보디아,환적,5750.0,5727.0,23.0
2020,캐나다,환적,465154.5,456960.75,8193.75
2020,케냐,환적,1577.0,1577.0,0.0
2020,케이맨 제도,환적,94.0,94.0,0.0
2020,코모로,환적,2.0,2.0,0.0
2020,코스타리카,환적,14340.75,14108.75,232.0
2020,코트디부아르,환적,464.0,464.0,0.0
2020,콜롬비아,환적,90590.25,86066.5,4523.75
2020,콩고,환적,25.0,25.0,0.0
2020,콩고 민주 공화국,환적,146.0,146.0,0.0
2020,쿠바,환적,3362.0,3362.0,0.0
2020,쿠웨이트,환적,1027.0,1027.0,0.0
2020,쿡 제도,환적,1.0,1.0,0.0
2020,퀴라소,환적,26.0,26.0,0.0
2020,크로아티아,환적,2461.5,2461.5,0.0
2020,키리바시,환적,1975.0,1959.0,16.0
2020,키프로스,환적,299.0,299.0,0.0
2020,탄자니아,환적,708.0,708.0,0.0
2020,태국,환적,186158.75,184134.75,2024.0
2020,토고,환적,182.5,182.5,0.0
2020,통가,환적,1060.0,1034.0,26.0
2020,투발루,환적,2.0,2.0,0.0
2020,튀니지,환적,1736.5,1736.5,0.0
2020,튀르키예,환적,65732.75,63256.75,2476.0
2020,트리니다드 토바고,환적,5840.0,5640.0,200.0
2020,파나마,환적,75965.75,54331.5,21634.25
2020,파라과이,환적,508.0,508.0,0.0
2020,파키스탄,환적,19114.25,17967.25,1147.0
2020,파푸아 뉴기니,환적,5528.0,5525.0,3.0
2020,팔라우,환적,174.0,174.0,0.0
2020,페로 제도,환적,4.0,4.0,0.0
2020,페루,환적,89663.0,87719.0,1944.0
2020,포르투갈,환적,3392.25,3392.25,0.0
2020,폴란드,환적,4127.0,4125.0,2.0
2020,푸에르토리코,환적,9455.0,9455.0,0.0
2020,프랑스,환적,29837.5,27960.5,1877.0
2020,프랑스령 기아나,환적,38.0,38.0,0.0
2020,프랑스령 폴리네시아,환적,891.0,837.0,54.0
2020,피지,환적,5557.0,5381.0,176.0
2020,핀란드,환적,14132.0,14132.0,0.0
2020,필리핀,환적,141021.75,131101.0,9920.75
2020,헝가리,환적,14.0,14.0,0.0
2020,호주,환적,125990.75,113751.25,12239.5
2020,홍콩,환적,88540.5,85559.0,2981.5
2021,가나,입항,382.0,376.0,6.0
2021,가봉,입항,64.0,64.0,0.0
2021,가이아나,입항,45.0,43.0,2.0
2021,감비아,입항,58.0,58.0,0.0
2021,과들루프,입항,4.0,4.0,0.0
2021,과테말라,입항,4658.0,3383.0,1275.0
2021,괌,입항,6969.0,1068.5,5900.5
2021,그리스,입항,11364.25,4371.0,6993.25
2021,기니,입항,937.0,937.0,0.0
2021,기니비사우,입항,42.0,42.0,0.0
2021,나미비아,입항,140.0,140.0,0.0
2021,나이지리아,입항,689.0,689.0,0.0
2021,남아프리카,입항,9601.0,9213.0,388.0
2021,네덜란드,입항,89134.75,77646.25,11488.5
2021,노르웨이,입항,7352.0,7278.0,74.0
2021,뉴질랜드,입항,29332.0,24645.0,4687.0
2021,뉴칼레도니아,입항,2984.0,211.0,2773.0
2021,니카라과,입항,197.0,189.0,8.0
2021,대만,입항,86778.75,54712.0,32066.75
2021,대한민국,입항,77131.75,28.0,77103.75
2021,덴마크,입항,11970.0,11880.0,90.0
2021,도미니카 공화국,입항,1502.0,1226.0,276.0
2021,독일,입항,106528.0,98003.25,8524.75
2021,동티모르,입항,2.0,2.0,0.0
