연도,국가명,수입,수출,환적,전체물동량
2021,통가,2540.0,4.0,1458.0,4002.0
2021,투발루,0.0,0.0,0.0,0.0
2021,튀니지,898.0,657.0,1610.5,3165.5
2021,튀르키예,26007.5,97455.5,76699.25,200162.25
2021,트리니다드 토바고,440.0,467.0,5145.0,6052.0
2021,파나마,37584.0,19191.0,56814.75,113589.75
2021,파라과이,254.0,61.0,646.0,961.0
2021,파키스탄,20882.25,19748.5,19377.0,60007.75
2021,파푸아 뉴기니,606.0,1429.0,4584.0,6619.0
2021,팔라우,24.0,113.0,121.0,258.0
2021,페로 제도,0.0,0.0,4.0,4.0
2021,페루,19018.0,16462.0,104738.25,140218.25
2021,포르투갈,3023.0,1954.0,2507.0,7484.0
2021,폴란드,13953.75,5192.75,4593.5,23740.0
2021,푸에르토리코,1793.0,362.0,8687.0,10842.0
2021,프랑스,38269.5,16409.75,44652.75,99332.0
2021,프랑스령 기아나,2.0,16.0,59.0,77.0
2021,프랑스령 폴리네시아,2463.0,123.0,1969.0,4555.0
2021,피지,1000.0,482.0,6447.0,7929.0
2021,핀란드,14204.0,605.25,16194.0,31003.25
2021,필리핀,53752.25,47394.0,139520.25,240666.5
2021,헝가리,106.0,28.0,8.0,142.0
2021,호주,152347.0,61421.25,113269.0,327037.25
2021,홍콩,57540.0,82646.5,90232.75,230419.25
2022,가나,2526.0,2713.0,2615.0,7854.0
2022,가봉,160.0,9.0,807.0,976.0
2022,가이아나,53.0,177.0,5836.25,6066.25
2022,감비아,96.0,6.0,72.0,174.0
2022,과들루프,7.0,50.0,438.0,495.0
2022,과테말라,5122.0,5984.0,29278.25,40384.25
2022,괌,12501.0,3099.5,8310.75,23911.25
2022,그레나다,2.0,27.0,291.0,320.0
2022,그리스,6607.25,10746.0,9836.0,27189.25
2022,기니,780.0,116.25,190.0,1086.25
2022,기니비사우,14.0,11.0,57.0,82.0
2022,나미비아,158.0,20.0,745.0,923.0
2022,나우루,0.0,0.0,278.0,278.0
2022,나이지리아,2529.0,2627.0,5255.5,10411.5
2022,남아프리카,8444.0,3344.0,9759.0,21547.0
2022,네덜란드,73827.0,64172.75,42250.0,180249.75
2022,네팔,0.0,0.0,0.0,0.0
2022,노르웨이,6935.25,320.0,2962.25,10217.5
2022,뉴질랜드,30793.0,14057.0,26066.0,70916.0
2022,뉴칼레도니아,3220.0,1061.0,8006.0,12287.0
2022,니카라과,227.0,328.0,7396.25,7951.25
2022,대만,85566.5,134897.75,131864.25,352328.5
2022,대한민국,68290.0,121080.0,308835.5,498205.5
2022,덴마크,13101.0,2035.0,6353.0,21489.0
2022,도미니카 공화국,3269.0,3092.0,27124.0,33485.0
2022,도미니카 연방,0.0,3.0,160.0,163.0
2022,독일,99673.25,62987.75,45741.75,208402.75
2022,동티모르,18.0,57.0,166.0,241.0
2022,라오스,0.0,0.0,0.0,0.0
2022,라이베리아,36.0,34.0,151.0,221.0
2022,라트비아,6994.0,356.0,5382.0,12732.0
