입출항구분,국가명,연도,물동량
출항환적,피지,2020,5096.0
출항환적,핀란드,2020,429.0
출항환적,필리핀,2020,56663.0
출항환적,호주,2020,25313.25
출항환적,홍콩,2020,51704.25
입항,가나,2021,382.0
입항,가봉,2021,64.0
입항,가이아나,2021,45.0
입항,감비아,2021,58.0
입항,과들루프,2021,4.0
입항,과테말라,2021,4658.0
입항,괌,2021,6969.0
입항,그리스,2021,11364.25
입항,기니,2021,937.0
입항,기니비사우,2021,42.0
입항,나미비아,2021,140.0
입항,나이지리아,2021,689.0
입항,남아프리카,2021,9601.0
입항,네덜란드,2021,89134.75
입항,노르웨이,2021,7352.0
입항,뉴질랜드,2021,29332.0
입항,뉴칼레도니아,2021,2984.0
입항,니카라과,2021,197.0
입항,대만,2021,86778.75
입항,대한민국,2021,77131.75
입항,덴마크,2021,11970.0
입항,도미니카 공화국,2021,1502.0
입항,도미니카 연방,2021,0.0
입항,독일,2021,106528.0
입항,동티모르,2021,2.0
입항,라이베리아,2021,29.0
입항,라트비아,2021,11288.0
입항,러시아,2021,143904.75
입항,레바논,2021,1254.0
입항,레위니옹,2021,25.0
입항,루마니아,2021,6350.5
입항,리비아,2021,404.0
입항,리투아니아,2021,4620.25
입항,마다가스카르,2021,101.0
입항,마르티니크,2021,6.0
입항,마샬 제도,2021,4858.0
입항,말레이시아,2021,96223.25
입항,말리,2021,0.0
입항,멕시코,2021,100306.5
입항,모로코,2021,3379.0
입항,모리셔스,2021,118.0
입항,모리타니,2021,303.0
입항,모잠비크,2021,1139.0
입항,몬테네그로,2021,1444.0
입항,몰타,2021,1537.25
입항,미국,2021,735726.75
입항,미얀마,2021,4132.0
입항,미크로네시아,2021,131.0
입항,바누아투,2021,1879.0
입항,바레인,2021,2588.0
입항,바베이도스,2021,0.0
입항,바하마,2021,3.0
입항,방글라데시,2021,7320.0
입항,베냉,2021,27.0
입항,베네수엘라,2021,381.0
입항,베트남,2021,164976.0
입항,벨기에,2021,43211.0
입항,벨리즈,2021,0.0
입항,북마리아나 제도,2021,9795.5
입항,불가리아,2021,914.25
입항,브라질,2021,38115.0
입항,브루나이,2021,22.0
입항,사모아,2021,2644.0
입항,사우디아라비아,2021,22533.75
입항,세네갈,2021,1194.0
입항,세르비아,2021,2.0
입항,세이셸,2021,103.0
입항,세인트 빈센트 그레나딘,2021,0.0
입항,세인트루시아,2021,8.0
입항,소말리아,2021,34.0
입항,솔로몬제도,2021,56.0
입항,수단,2021,424.0
입항,수리남,2021,401.0
입항,스리랑카,2021,4812.0
입항,스웨덴,2021,15079.0
입항,스위스,2021,15.0
입항,스페인,2021,44959.25
입항,슬로베니아,2021,15925.75
입항,시리아,2021,1.0
입항,시에라 리온,2021,165.0
입항,싱가포르,2021,65197.25
입항,아랍에미리트연합국,2021,65359.0
입항,아루바,2021,10.0
입항,아르헨티나,2021,7962.0
입항,아메리칸사모아,2021,937.0
입항,아이슬란드,2021,12.0
입항,아이티,2021,93.0
입항,아일랜드,2021,2152.0
입항,알바니아,2021,2367.0
입항,알제리,2021,8.0
입항,앙골라,2021,56.0
입항,앤틸리스제도,2021,9.0
입항,에스토니아,2021,3096.25
입항,에콰도르,2021,13330.0
입항,엘살바도르,2021,2176.0
입항,영국,2021,27827.25
입항,예멘,2021,1687.75
입항,오만,2021,7804.0
입항,오스트리아,2021,2.0
입항,온두라스,2021,891.0
입항,요르단,2021,2523.0
입항,우루과이,2021,2496.0
입항,우크라이나,2021,4612.25
입항,원양어획지역,2021,4.0
입항,이라크,2021,16.0
입항,이란,2021,289.0
입항,이스라엘,2021,6730.0
입항,이집트,2021,17730.5
입항,이탈리아,2021,63326.5
입항,인도,2021,124093.75
입항,인도네시아,2021,90140.0
입항,일본,2021,775342.25
입항,자메이카,2021,7711.0
입항,적도 기니,2021,13.0
입항,조지아,2021,221.0
입항,중국,2021,1232380.75
입항,지부티,2021,1148.0
입항,지브롤터,2021,0.0
입항,체코,2021,9.0
입항,칠레,2021,63117.0
입항,카메룬,2021,26.0
입항,카보 베르데,2021,2.0
입항,카타르,2021,8405.75
입항,캄보디아,2021,1600.0
입항,캐나다,2021,103319.5
입항,케냐,2021,542.0
입항,코모로,2021,0.0
입항,코스타리카,2021,2295.0
입항,코트디부아르,2021,121.0
입항,콜롬비아,2021,14990.0
입항,콩고,2021,48.0
입항,콩고 민주 공화국,2021,68.0
입항,쿠바,2021,47.0
입항,쿠웨이트,2021,1296.0
입항,퀴라소,2021,10.0
입항,크로아티아,2021,2253.0
입항,키리바시,2021,2361.0
입항,키프로스,2021,157.0
입항,탄자니아,2021,3074.0
입항,태국,2021,84669.25
입항,토고,2021,384.0
입항,통가,2021,2540.0
입항,튀니지,2021,898.0
입항,튀르키예,2021,26007.5
입항,트리니다드 토바고,2021,440.0
입항,파나마,2021,37584.0
입항,파라과이,2021,254.0
입항,파키스탄,2021,20882.25
입항,파푸아 뉴기니,2021,606.0
입항,팔라우,2021,24.0
입항,페로 제도,2021,0.0
입항,페루,2021,19018.0
입항,포르투갈,2021,3023.0
입항,폴란드,2021,13953.75
입항,푸에르토리코,2021,1793.0
입항,프랑스,2021,38269.5
입항,프랑스령 기아나,2021,2.0
입항,프랑스령 폴리네시아,2021,2463.0
입항,피지,2021,1000.0
입항,핀란드,2021,14204.0
입항,필리핀,2021,53752.25
입항,헝가리,2021,106.0
